問題,答案,關鍵字
H100 方案適合什麼用途？,H100 是高階 GPU 方案，適合大型語言模型訓練、深度學習推論、影像生成等需要大量 VRAM 與算力的工作。一般網站、資料處理或小模型實驗用不到，選 Basic 或 CPU 優化即可。,H100|GPU|訓練|推論|深度學習|大模型|大型語言模型|語言模型|LLM|VRAM|算力
Basic、CPU 優化、記憶體優化 有什麼差別？,三者的 vCPU 與記憶體比例不同。Basic 是 1:4（均衡入門）、CPU 優化是 1:2（運算密集、vCPU 多）、記憶體優化是 1:8（吃記憶體的應用如資料庫、快取、大型資料分析）。依瓶頸在 CPU 還是記憶體來選。,Basic|CPU優化|記憶體優化|差別|比例|vCPU|記憶體|類型|怎麼選
方案名稱後面的 disk+ 是什麼意思？,disk+ 是舊制「加大系統碟」的標記，新價目已改制：系統碟預設 120GB，需要更多空間改為按 GB 加購額外儲存（SSD 或 HDD，費率依區域不同），不再有 disk+ 方案變體。要更大容量直接加購儲存即可。,disk+|系統碟|硬碟|儲存|SSD|HDD|按GB|加大|加購|容量
個人實驗環境和團隊／生產環境怎麼選方案？,個人實驗或開發測試建議從 Basic 或最小規格起步，成本低、隨用隨關。團隊或生產環境需考慮穩定併發與長時間運轉，建議選 CPU／記憶體優化或 GPU 方案，並用 estimate_cost 估算長期費用。,個人|實驗|團隊|生產|環境|開發|測試|怎麼選
模型訓練和推論部署的需求差在哪裡？,訓練需要更大的 VRAM 與算力，通常要 GPU（如 H100）且時間長、成本高。推論部署相對輕量，可視模型大小選較小的 GPU 或 CPU 方案，重點在穩定回應與併發量。先確認用途再決定要不要 GPU。,訓練|推論|部署|差別|VRAM|GPU|用途|需求
費用是怎麼計算的？按小時還是按月？,所有方案以「每小時」計費。實際花費 = 每小時單價 × 使用時數。可用 estimate_cost 工具輸入每天使用時數與天數來估算總花費，或用 compare_plans 看兩個方案的月費估算。,計費|費用|價格|按小時|按月|怎麼算|單價|成本
我需要多少 VRAM？怎麼估算模型需求？,粗估方式：模型參數量（B）× 2（FP16）約等於所需 VRAM（GB），推論再加 20% 緩衝，訓練則需數倍。例如 7B 模型推論約需 14GB 以上 VRAM。不確定時可先說明模型參數量或用途，再由助手推薦。,VRAM|記憶體|估算|模型|參數量|多少|需求|大小
有沒有最便宜的方案？怎麼省錢？,最便宜的是 Basic 小規格方案。省錢重點：一是選符合需求的最小規格不要超買，二是用完即關（按小時計費），三是用 estimate_cost 比較不同使用時數下的成本。不需要 GPU 就別選 GPU 方案。,便宜|省錢|最低|預算|成本|划算|cp值|最便宜
vCPU 和 GPU 是什麼關係？都需要嗎？,vCPU 是虛擬 CPU 核心，處理一般運算；GPU 負責平行運算（深度學習、繪圖）。GPU 方案本身也會配置 vCPU。一般應用只需 vCPU，唯有深度學習、模型訓練推論才需要 GPU。,vCPU|GPU|CPU|關係|核心|需要|差別
系統碟 120GB 夠用嗎？不夠怎麼辦？,一般網站、應用程式 120GB 足夠。若要存放大型資料集、模型權重或多個容器映像，可按 GB 加購額外儲存（SSD 或 HDD，費率見各區價目）。系統碟預設 120GB，不夠再加購即可。,系統碟|120|容量|夠用|不夠|儲存|加購|SSD|HDD|空間
要怎麼開始租用方案？,先用 query_pricing 或 recommend_server 找到合適方案，確認規格與每小時費用後即可開通。不確定需求可以直接描述用途，讓助手協助推薦再開始。,怎麼開始|租用|開通|申請|怎麼用|流程|開始
用完可以隨時關機、停止計費嗎？,可以。方案以每小時計費，不使用時關機即不再累積費用，適合臨時或實驗性質的工作。若會長期穩定運行，建議先用 estimate_cost 估算月費。,關機|停止|計費|隨時|暫停|不用|關掉
H100.small 和 H100.large 差在哪？,H100.small 是單張 H100（96 vCPU、512GB 記憶體），H100.large 是兩張 H100（192 vCPU、1024GB 記憶體），算力與價格約為兩倍。單卡夠用就選 small，需要更大模型或更快訓練再上 large。,H100.small|H100.large|差別|單卡|兩張|大小|small|large
可以中途換方案或升級規格嗎？,可以依需求重新選擇方案。建議先用 compare_plans 比較目前與目標方案的規格與價格差異，確認升級划不划算再決定。,換方案|升級|更換|調整|規格|改方案|降級
CPU 優化和記憶體優化怎麼選？,看瓶頸在哪。運算密集（大量計算、編譯、模擬）選 CPU 優化（vCPU 多，1:2）；吃記憶體（資料庫、快取、大型資料分析）選記憶體優化（記憶體比例高，1:8）。,CPU優化|記憶體優化|怎麼選|哪個|運算|資料庫|瓶頸
什麼是可信賴雲？,可信賴雲是提供雲端伺服器運算資源的平台，可依需求租用不同規格方案（Basic、CPU 優化、記憶體優化、GPU），按小時計費。本助手可協助查價、推薦與比較方案。,可信賴雲|是什麼|平台|介紹|服務|這是什麼
需要多大的儲存空間、怎麼估？,看要存多少資料。系統碟預設 120GB；不夠就按 GB 加購儲存——SSD 讀寫快、單價較高，HDD 便宜、適合冷資料。中等資料集加購數百 GB，大型資料集或長期累積可加購 1TB 以上，費率依區域。,儲存|容量|怎麼選|系統碟|SSD|HDD|加購|資料集|空間|加大
vCPU 不夠會發生什麼事？,vCPU 不足時程式會變慢、回應延遲，高負載下可能卡住。若發現運算吃緊，可用 recommend_server 重新推薦較高 vCPU 的方案，或改用 CPU 優化系列。,vCPU|不夠|不足|變慢|延遲|效能|卡
顯卡和 GPU 是一樣的嗎？要怎麼選顯卡方案？,是一樣的，顯卡（顯示卡、繪圖卡）就是 GPU。需要 GPU 算力時選 GPU 系列方案（H100），可用 recommend_server 設定 need_gpu，或用 query_pricing 查 GPU 方案。,顯卡|GPU|顯示卡|繪圖卡|一樣|H100|圖形卡
一個月大概要花多少錢？怎麼估算月費？,月費 = 每小時單價 × 每天使用時數 × 天數。可用 estimate_cost 輸入方案與使用情境直接算出，或用 compare_plans 看兩方案以 24 小時運轉一個月的費用估算。,月費|一個月|多少錢|月租|估算|每月|成本
可以同時開好幾台機器嗎？,可以。可依需求同時開多台，費用各自依使用時數累計。建議先用 estimate_cost 估算單台成本，再乘上台數評估總預算。,多台|同時|好幾台|數量|併發|好幾個|複數
我是新手不知道怎麼選，可以怎麼開始？,先描述用途（例如架網站、跑深度學習、資料分析）與預算，讓助手用 recommend_server 推薦；不確定規格也沒關係，可以先從 Basic 小方案試起，再依需求調整。,新手|不知道|怎麼開始|入門|建議|第一次|沒概念
GPU 方案為什麼比較貴？,GPU（尤其 H100）硬體成本高、算力強，適合訓練與推論等重運算工作，因此單價明顯高於 Basic 或 CPU 方案。不需要 GPU 的工作選一般方案會划算很多。,貴|價格高|為什麼貴|成本|GPU|H100|很貴
跑網站或一般應用要用哪個方案？,一般網站、應用程式或後端服務用不到 GPU，選 Basic 系列即可，需要更多運算再升級 CPU 優化。可用 recommend_server 依預估流量與規格推薦。,網站|架站|一般應用|web|部署|後端|服務
VM 開機和關機有什麼差別？,開機代表 VM 進入運行中狀態、開始按小時計費；關機則停止計費並保留系統碟資料，之後可隨時重新開機。簡單說開機在算錢、關機不算錢，但機器與資料都還留著。,開機|關機|差別|差在哪|計費|運行|狀態|生命週期
VM 關機後資料會不會不見？,不會。關機只是停止運行與計費，系統碟的資料會完整保留，重新開機後一切都在。只有執行刪除才會釋放資源並清空資料。,關機|資料|不見|遺失|消失|保留|系統碟|還在
維護模式是什麼？什麼時候會用到？,維護模式是讓 VM 暫停對外服務、以便進行更新或檢修的狀態。維護期間機器不提供正常服務，維護完成後可用 start_vm 復機，或直接用 stop_vm 關機。,維護|維護模式|maintenance|保養|更新|檢修|暫停服務
刪除 VM 之後還能救回來嗎？,不行。刪除會釋放資源、停止計費，且不可復原，等於機器與系統碟資料一併清除。重要資料請務必在刪除前自行備份到其他地方。,刪除|救回|復原|還原|不可逆|銷毀|移除|備份
要怎麼建立一台新的 VM？,直接用 create_vm 指定方案名稱（例如 create_vm H100.small）即可建立並開機。如果還不確定要哪個方案，可以先用 recommend_server 依需求推薦，再建立。,建立|開一台|新增|create_vm|怎麼建|怎麼開|新機器
VM 有哪些狀態？整個生命週期是怎麼運作的？,一台 VM 有四種狀態：運行中（running）、已關機（stopped）、維護中（maintenance）、已刪除（deleted）。建立後為運行中，之後可在運行、關機、維護之間切換；刪除是終點，刪了就不能再操作。,狀態|生命週期|running|stopped|maintenance|deleted|流程|怎麼運作
關機和刪除有什麼不一樣？,關機是暫停：停止計費、保留系統碟資料，隨時可重新開機。刪除是終止：釋放資源、不可復原、資料一併清除。短期不用就關機，確定不再使用且已備份才刪除。,關機|刪除|差別|差在哪|不一樣|保留|釋放|復原
可以同時管理多台 VM 嗎？怎麼查每一台的狀態？,可以。用 list_vms 一次列出你所有的 VM 與目前狀態；想看某一台的詳細規格與計費，就用 get_vm 加上機器編號（如 vm-0001）。,多台|管理|列出|清單|list_vms|get_vm|狀態|查機器
我的機器跑很慢、卡卡的怎麼辦？,先判斷瓶頸在哪：一般運算吃緊就升級 vCPU 或改用 CPU 優化，記憶體不足就選記憶體優化，需要深度學習算力才上 GPU。可用 recommend_server 重新推薦或 compare_plans 比較升級前後差異。,慢|卡|跑不動|效能|延遲|lag|瓶頸|升級
用完之後要記得做什麼才不會一直被收費？,按小時計費，不使用時記得關機就會停止計費；如果確定之後都不會再用、且資料已備份，可以直接刪除釋放資源。長期運行前建議先用 estimate_cost 估算月費。,用完|不用|結束|收費|計費|關機|停止|刪除
