問題,答案,關鍵字,分類
我要怎麼申請一個計畫？,"依計畫別（國科會、學術、政府法人、企業、個人）到會員中心提出申請。國科會與學術計畫需上傳核定文件、經審核通過後，計畫才會有錢包與可用額度。",計畫申請|申請計畫|怎麼申請|開計畫|審核|核定|會員中心,計畫申請及管理
計畫別（類別）有哪些？差在哪？,"分國科會、學術、政府法人、企業、個人五類。類別決定差別費率折扣、儲存配額與可用資源，且由核定計畫認定，不是自己隨意填。",計畫別|類別|國科會|學術|政府法人|企業|個人|差別費率|折扣,計畫申請及管理
計畫到期要續用（延長）怎麼辦？,"在期限前提出續用申請。續用計畫通常需先登錄研究成果（論文、專利、研究報告）才能通過續用審核。",續用|續約|延長|到期|展延|成果登錄,計畫申請及管理
一個計畫可以有多位成員嗎？,"可以。計畫底下能加入多位成員，並指定計畫管理者（Tenant Admin）管理額度與成員權限。",成員|多人|計畫管理者|tenant admin|加人|權限,計畫申請及管理
計畫審核大概要多久？沒過怎麼辦？,"審核時間依計畫別與檢附文件而定；未通過會通知補件。實際時程與所需文件以 iService 公告與承辦通知為準。",審核多久|沒過|補件|退件|審查時間,計畫申請及管理
費用什麼時候開始收？,"晶創雲自 2026/08/01 起正式收費；原 TWCC 轉移戶自 2026/09/01 起開始收費。收費前為試營運。",開始收費|何時收費|2026/08/01|上線|收費時程|轉移戶,帳務相關問題
發票怎麼開立、什麼時候拿到？,"依帳單週期結算後開立發票；抬頭、統編與寄送方式於會員中心設定，實際開立與寄送依 iService 帳務公告辦理。",發票|開立|抬頭|統編|報帳|收據,帳務相關問題
帳單多久結算一次？,"依帳單週期結算。錢包採預付制：使用時從錢包扣抵，可用 get_wallet_balance 查餘額與預估可用天數、list_transactions 看扣抵明細。",帳單|週期|結算|多久|對帳|帳務,帳務相關問題
逾期沒繳費會怎樣？,"錢包餘額不足或逾期未繳可能導致服務暫停。請保持錢包餘額充足，並留意到期與繳費通知，避免資源被停用。",逾期|沒繳|欠費|停用|暫停服務|催繳,帳務相關問題
錢包餘額怎麼查、怎麼儲值？,"用 get_wallet_balance 查餘額與每日燃燒率、用 top_up_wallet 儲值、用 list_transactions 看儲值與扣抵明細。餘額＝所有交易加總，與明細一致。",錢包|餘額|儲值|加值|扣抵|預付|top_up,帳務相關問題
為什麼帳單金額有含稅？,"公告價格已內含 5% 稅（單價 ×1.05），帳單顯示的即為含稅實收金額，不會再另外加稅。",稅|5%|含稅|營業稅|外加|發票金額,帳務相關問題
我要怎麼申購資源、下訂單？,"在會員中心針對指定計畫申購所需資源（如運算 quota、儲存空間），送出後成為訂單，依審核與開通流程處理。",申購|訂單|下單|購買資源|加購quota|order,訂單申請及管理
怎麼查我的訂單狀態？,"目前於會員中心的訂單管理查詢訂單狀態；狀態類查詢規劃做成 get_order_status 之類的工具（規劃中），屆時可直接問助手。",訂單狀態|查訂單|進度|order status|規劃中,訂單申請及管理
訂單送出後可以取消或修改嗎？,"一般在尚未開通前可取消或修改；開通後依各服務規則辦理，詳細請見 iService 訂單管理說明。",取消訂單|修改訂單|退訂|變更,訂單申請及管理
儲存費用怎麼算？各區一樣嗎？,"晶創雲 AI-Trust 儲存為單一價；AI-Cloud 儲存則適用差別費率折扣。可用 estimate_storage_cost 依容量、磁碟類型與身分試算。",儲存費用|儲存計價|單一價|差別費率|AI-Cloud|AI-Trust|estimate_storage_cost,儲存服務申請及管理
臺灣杉三號（T3）的儲存怎麼收費？,"臺灣杉三號儲存按計畫別、以每 100GB／年計費：國科會 $250、學術 $1,260、政府法人 $2,520、企業個人 $5,040。與晶創雲儲存計價不同。",臺灣杉三號|T3|儲存|100GB|按計畫別|每年|台灣杉,儲存服務申請及管理
/home、/work、/project 有什麼差別？,"一般為家目錄（/home）、計算工作區（/work）與計畫共用空間（/project），用途與配額不同。用量與配額查詢規劃做成 get_storage_usage 工具。",home|work|project|目錄|配額|工作區|家目錄,儲存服務申請及管理
加購 SSD 跟 HDD 怎麼選？,"SSD 讀寫快、單價較高，適合熱資料與頻繁存取；HDD 便宜，適合冷資料與長期保存。系統碟預設 120GB，不夠再按 GB 加購。",SSD|HDD|加購|磁碟|冷資料|熱資料|怎麼選,儲存服務申請及管理
平台上要怎麼使用內建軟體、套件？,"HPC 環境用 module load 載入所需軟體版本（如編譯器、CUDA、深度學習框架）；先用 module avail 列出可用清單再載入。",軟體|套件|module|module load|module avail|環境|載入,軟體申請及管理
可以自己安裝軟體嗎？,"使用者空間可自行安裝（例如用 conda 或 pip 裝到家目錄）；若需系統層或授權軟體，則依軟體申請流程提出。",安裝軟體|自己裝|conda|pip|授權|自行安裝,軟體申請及管理
找不到需要的軟體版本怎麼辦？,"先用 module avail 查是否已提供；若沒有，可提出軟體申請，由平台評估是否安裝該版本。",找不到軟體|版本|沒有|申請安裝|module avail,軟體申請及管理
有沒有特殊或客製服務可以申請？,"有。大額資源、客製環境、專案協作等屬特殊服務，走特殊服務申請、經評估後開通，詳見 iService 特殊服務專區。",特殊服務|客製|專案協作|大額資源|客製化,特殊服務申請及管理
怎麼註冊成為會員？,"到會員中心註冊帳號並完成 email 驗證後，即可申請計畫與使用服務。註冊為使用平台的第一步。",註冊|加入會員|辦帳號|申請帳號|驗證,會員資料維護
忘記密碼、要重設密碼怎麼辦？,"於會員中心用「忘記密碼」重設會員密碼；登入運算主機的主機帳號密碼另依主機帳號說明重設，兩者可能分開。",忘記密碼|重設密碼|改密碼|password|reset,會員資料維護
主機帳號是什麼？跟會員帳號一樣嗎？,"會員帳號用於入口與計畫管理；主機帳號是登入運算主機（SSH）用的帳號，兩者可能不同。主機帳號資訊於會員中心查詢。",主機帳號|會員帳號|差別|登入主機|account,會員資料維護
怎麼用 SSH 連到我的運算主機？,"取得主機帳號與連線資訊後，用 SSH 連入運算主機，建議使用金鑰登入。連線位址與埠號依各主機說明設定。",SSH|連線|登入主機|金鑰|遠端連線|連進去,會員資料維護
怎麼修改會員基本資料？,"於會員中心的會員資料維護修改聯絡方式、單位與基本資料；部分欄位變更可能需重新驗證。",修改資料|會員資料|聯絡方式|更新資料|基本資料,會員資料維護
為什麼要登錄研究成果（論文、專利）？,"使用補助資源的計畫需登錄研究成果（論文、專利、研究報告）；續用計畫通常以完成成果登錄為條件。",成果|論文|專利|研究報告|登錄|為什麼要,成果及專利維護
研究成果要怎麼登錄？,"於會員中心的成果維護登錄論文、專利或研究報告資訊，並關聯到對應的計畫。續用前記得先登錄。",成果登錄|怎麼登錄|論文|專利|填成果,成果及專利維護
